"ab—off, down", "abholen", "to pick up, to fetch", [sound:abholen.mp3]
"ab—off, down", "abnehmen", "to take off, to lose weight", [sound:abnehmen.mp3]
"an—at, on", "ankommen", "to arrive", [sound:ankommen.mp3]
"an—at, on", "anrufen", "to call up (on the telephone)", [sound:anrufen.mp3]
"an—at, on", "ansehen", "to look at", [sound:ansehen.mp3]
"an—at, on", "anziehen", "to put on, to dress", [sound:anziehen.mp3]
"auf—up", "aufhören", "to stop", [sound:aufhoren.mp3]
"auf—up", "aufpassen", "to pay attention", [sound:aufpassen.mp3]
"auf—up", "aufstehen", "to get up", [sound:aufstehen.mp3]
"aus—out", "ausgehen", "to go out", [sound:ausgehen.mp3]
"aus—out", "aussteigen", "to climb out, to get out", [sound:aussteigen.mp3]
"ein—into", "einkaufen", "to buy, to shop", [sound:einkaufen.mp3]
"ein—into", "eintreten", "to enter", [sound:eintreten.mp3]
"entgegen—toward", "entgegengehen", "to go to meet", [sound:entgegengehen.mp3]
"fort—away", "fortgehen", "to go away", [sound:fortgehen.mp3]
"heim—home", "heimgehen", "to go home", [sound:heimgehen.mp3]
"heim—home", "heimkommen", "to come home", [sound:heimkommen.mp3]
"her—hither", "herkommen", "to come here", [sound:herkommen.mp3]
"her—hither", "herstellen", "to produce", [sound:herstellen.mp3]
"heraus—out (toward)", "herausbringen", "to bring out", [sound:herausbringen.mp3]
"heraus—out (toward)", "herausreißen", "to tear out", [sound:herausreißen.mp3]
"herein—in", "hereinkommen", "to come in", [sound:hereinkommen.mp3]
"hin—thither", "hingehen", "to go there (away from the speaker)", [sound:hingehen.mp3]
"hin—thither", "hinfallen", "to fall down", [sound:hinfallen.mp3]
"hinaus—out (away)", "hinausgehen", "to go out", [sound:hinausgehen.mp3]
"hinaus—out (away)", "hinauswerfen", "to throw out", [sound:hinauswerfen.mp3]
"hinein—into", "hineinfallen", "to fall into", [sound:hineinfallen.mp3]
"mit—with, along", "mitbringen", "to bring along", [sound:mitbringen.mp3]
"mit—with, along", "mitkommen", "to come along", [sound:mitkommen.mp3]
"mit—with, along", "mitnehmen", "to take along", [sound:mitnehmen.mp3]
"nach—after", "nachdenken", "to reflect", [sound:nachdenken.mp3]
"nach—after", "nachfragen", "to inquire", [sound:nachfragen.mp3]
"nach—after", "nachlaufen", "to run after", [sound:nachlaufen.mp3]
"nieder—down", "niederbrennen", "to burn down", [sound:niederbrennen.mp3]
"um—around", "umpflanzen", "to transplant", [sound:umpflanzen.mp3]
"um—around", "umsehen", "to look around", [sound:umsehen.mp3]
"um—around", "umsteigen", "to change (buses, etc.)", [sound:umsteigen.mp3]
"um—around", "umziehen", "to move (to change residence, clothes)", [sound:umziehen.mp3]
"unter—under", "untergehen", "to sink, to perish", [sound:untergehen.mp3]
"vor—before", "vorbereiten", "to prepare", [sound:vorbereiten.mp3]
"vor—before", "vorgehen", "to precede, to be fast (clock)", [sound:vorgehen.mp3]
"vor—before", "vorhaben", "to be going (planning) to do", [sound:vorhaben.mp3]
"weg—away", "weggehen", "to go away", [sound:weggehen.mp3]
"zu—to", "zuhören", "to listen to", [sound:zuhoren.mp3]
"zu—to", "zumachen", "to close", [sound:zumachen.mp3]
"zurück—back", "zurückfahren", "to go back (by vehicle)", [sound:zuruckfahren.mp3]
"zurück—back", "zurückgeben", "to give back", [sound:zuruckgeben.mp3]
"zurück—back", "zurückkehren", "to turn (or come) back, return", [sound:zuruckkehren.mp3]
"zusammen—together", "zusammenbringen", "to bring together", [sound:zusammenbringen.mp3]
"zusammen—together", "zusammenkommen", "to come together, get together", [sound:zusammenkommen.mp3]
